Category,Account Number,Account Name,Description
"11Tomter, bygninger og annen fast eiendom",1100,Forretningsbygg (saldogruppe i),"1100 - Forretningsbygg (saldogruppe i)Dette er en eiendelskonto som brukes til kjøp, påkostning og kostnader ved oppføring av bygninger (vi kaller det balanseføring av eiendeler).Eiendeler over kr 30.000 (eks. mva) og forventet levetid/relevans over 3 år (anleggsmidler) skal i utgangspunktet balanseføres. Det gjelder selv om beløpet er fordelt over flere fakturaer. Hvis du er mva-registrert, følger fradraget for mva fakturadato på leverandørfakturaen, gitt at dokumentasjonen for fradraget er i hht reglene. PS: Nedre grense for å kostnadsføreanleggsmidlerøkte fra kr 15.000 til kr 30.000 fra 01.01.2024.Nettobeløpet avskrives, på kontoene 60XX etter til enhver tid gjeldende regelverk. Merk at regnskapsmessig og skattemessig avskrivninger kan være forskjellig."
"11Tomter, bygninger og annen fast eiendom",1120,Bygningsmessige anlegg,"1120 - Bygningsmessige anleggDette er en eiendelskonto. Kontoen brukes til andre bygninger/anlegg som ikke er fast eiendom. Med ikke fast eiendom menes for eksempel brakker og diverse anlegg.Beløpet som er betalt (selvkost) føres inn på denne kontoen. Eiendeler over kr 30.000 (eks. mva) og forventet levetid/relevans over 3 år (anleggsmidler) skal i utgangspunktet balanseføres. Det gjelder selv om beløpet er fordelt over flere fakturaer. Hvis du er mva-registrert, følger fradraget for mva fakturadato på leverandørfakturaen, gitt at dokumentasjonen for fradraget er i hht reglene. PS: Nedre grense for å kostnadsføreanleggsmidlerøkte fra kr 15.000 til kr 30.000 fra 01.01.2024.Nettobeløpet avskrives, på kontoene 60XX etter til enhver tid gjeldende regelverk. Merk at regnskapsmessig og skattemessig avskrivninger kan være forskjellig.Eksempler:Feltkontor, letthus, anlegg for byggestrøm, brakkerigg, porter og adgangskontroll."""
"11Tomter, bygninger og annen fast eiendom",1130,Anlegg maskiner under utførelse,1130 - Anlegg maskiner under utførelseDette er en eiendelskonto. Denne kontoen brukes til kostnader til maskiner og anlegg som er under utførelse i de tilfeller der arbeidet pågår over lengre tid.Eksempler:Maskiner som blir satt sammen eller montert på en arbeidsplass som pågår over en lengre periode.
"11Tomter, bygninger og annen fast eiendom",1190,Andre anleggsmidler,"1190 - Andre anleggsmidlerDette er en eiendelskonto. Denne kontoen brukes til fast eiendom som ikke passer på en annen konto i 11xx-serien.Eksempler:Gjerder, skilt."
"12Transportmidler, inventar, maskiner o.l.",1200,Maskiner og anlegg (saldogruppe d),"1200 - Maskiner og anlegg (saldogruppe d)Dette er en eiendelskonto. Denne kontoen brukes til innkjøp av maskiner og anlegg som har en høyere verdi enn kr 30.000 (eks. mva) og forventet levetid/relevans over 3 år (anleggsmidler). Hvis du er mva-registrert følger fradraget for mva fakturadato på leverandørfakturaen, gitt at dokumentasjonen for fradraget er i hht reglene. PS: Nedre grense for å kostnadsføreanleggsmidlerøkte fra kr 15.000 til kr 30.000 fra 01.01.2024.Nettobeløpet avskrives, på kontoene 60XX etter til enhver tid gjeldende regelverk. Merk at regnskapsmessig og skattemessig avskrivninger kan være forskjellig.Eksempler:produksjonsmaskiner, steinknuser etc."
"12Transportmidler, inventar, maskiner o.l.",1210,Maskiner og anlegg under utførelse,"1210 - Maskiner og anlegg under utførelseDenne kontoen er litt annerledes enn1200. Her fører du inn maskiner eller anlegg som er under utbygging. Det blir liggende her frem til det er ferdigstilt, etter ferdigstillelse overføres verdien til konto 1200."
"12Transportmidler, inventar, maskiner o.l.",1230,Personbiler/stasjonsvogner,"1230 - Personbiler/stasjonsvognerDette er en eiendelskonto. Denne kontoen brukes til firmabil. Du kan i tillegg føre inn diverse kjøp av tilleggsutstyr og omkostninger og avgifter som følge av kjøpet. En bil med hvite skilter er det ikke mva-fradrag. Bilen avskrives på kontoene 60XX etter til enhver tid gjeldende regelverk.Merk at regnskapsmessig og skattemessig avskrivninger kan være forskjellig.Til fremtidige kostnader på bruk av bilen, benyttes kontoene i nummerserien 70XX."
"12Transportmidler, inventar, maskiner o.l.",1235,Varebiler,"1235 - VarebilerDette er en eiendelskonto. Denne kontoen brukes til firmavarebiler. Du kan i tillegg føre inn diverse kjøp av tilleggsutstyr og omkostninger og avgifter som følge av kjøpet.Eiendeler over kr 30.000 (eks. mva) og forventet levetid/relevans over 3 år (anleggsmidler) skal i utgangspunktet balanseføres. Har bilen grønne skilter, og du er momsregistrert, følger fradraget for mva fakturadato på leverandørfakturaen, gitt at dokumentasjonen for fradraget er i hht reglene.Nettobeløpet avskrives, på kontoene 60XX etter til enhver tid gjeldende regelverk. Merk at regnskapsmessig og skattemessig avskrivninger kan være forskjellig. Til fremtidige kostnader på bruk av bilen, benyttes kontoene i nummerserien 70XX.PS: Nedre grense for å kostnadsføreanleggsmidlerøkte fra kr 15.000 til kr 30.000 fra 01.01.2024."
"12Transportmidler, inventar, maskiner o.l.",1249,Andre transportmidler,"1249 - Andre transportmidlerAndre transportmidler/kjøretøy som du ikke finner logisk å sette på noen av kontoene i gruppe 123x kan bokføres her.Eksempler:Motorsykkel, tilhenger, snøscooter, campingvogn, båt og påhengsmotor, Moped, MC, Scooter, elsykkel, elsparkesykkel, sparkesykkel , traktor"
"12Transportmidler, inventar, maskiner o.l.",1250,Inventar verktøy o.l. (saldogrupped),"1250 - Inventar verktøy o.l. (saldogrupped)Dette er en eiendelskonto. Denne kontoen brukes til innkjøp av inventar som har en høyere verdi enn kr 30.000 (eks. mva) og forventet levetid/relevans er over 3 år (anleggsmidler).Hvis du er mva-registrert følger fradraget for mva fakturadato på leverandørfakturaen, gitt at dokumentasjonen for fradraget er i hht. reglene. Nettobeløpet avskrives på kontoene 60XX, etter til enhver tid gjeldende regelverk.Merk at regnskapsmessig og skattemessig avskrivninger kan være forskjellig.Kostnader under kr 30.000, som omhandler inventar, benyttes kontoene i nummerserien 65XX.PS: Nedre grense for å kostnadsføreanleggsmidlerøkte fra kr 15.000 til kr 30.000 fra 01.01.2024.Eksempler:Butikkinventar, hyller, reoler, batteri, traller, kontormøbler, bord, stoler, pulter e.l. Utstyr og innredning i butikk, utstyr til treningsrom, utstyr til musikkstudio, overvåkningsutstyr, inventar og møbler i lokaler som leies ut, massasjestol, hvitevarer til spiserom, musikkinstrumenter, fotoutstyr, annet teknisk utstyr."""
"12Transportmidler, inventar, maskiner o.l.",1270,Verktøy,"1270 - VerktøyDette er en eiendelskonto. Denne kontoen brukes til innkjøp av verktøy som har en høyere verdi enn kr 30.000 (eks.mva) og forventet levetid/relevans over 3 år (anleggsmidler).Hvis du er mva-registrert følger fradraget for mva fakturadato på leverandørfakturaen, gitt at dokumentasjonen for fradraget er i hht reglene. Nettobeløpet avskrives på kontoene 60XX, etter til enhver tid gjeldende regelverk.Merk at regnskapsmessig og skattemessig avskrivninger kan være forskjellig.For kostnader under kr 30.000, som omhandler verktøy, benyttes kontoene i nummerserien 65XX.PS: Nedre grense for å kostnadsføreanleggsmidlerøkte fra kr 15.000 til kr 30.000 fra 01.01.2024.Eksempler:spikerpistol, borr, vinkelsliper, løvblåser og drill"
"12Transportmidler, inventar, maskiner o.l.",1280,Kontormaskiner o.l (saldogruppe a),"1280 - Kontormaskiner o.l (saldogruppe a)Dette er en eiendelskonto. Denne kontoen brukes til innkjøp av verktøy som har en høyere verdi enn kr 30.000 (eks.mva) og forventet levetid/relevans over 3 år (anleggsmidler).Hvis du er mva-registrert følger fradraget for mva fakturadato på leverandørfakturaen, gitt at dokumentasjonen for fradraget er i hht reglene. Nettobeløpet avskrives på kontoene 60XX, etter til enhver tid gjeldende regelverk.Merk at regnskapsmessig og skattemessig avskrivninger kan være forskjellig.For kostnader under kr 30 000, som omhandler kontormaskiner, benyttes kontoene i nummerserien 65XX.PS: Nedre grense for å kostnadsføreanleggsmidlerøkte fra kr 15.000 til kr 30.000 fra 01.01.2024.Eksempler: datautstyr, PC, kassesystem og kopimaskin"
"12Transportmidler, inventar, maskiner o.l.",1290,Andre driftsmidler,"1290 - Andre driftsmidlerHar du et driftsmiddel som skal inn i balansen, men ingen av de andre 12xx kontoene passer og som har en pris på over kr 30.000 og levetid på over 3 år (anleggsmidler)., kan du benytte denne kontoen.PS: Nedre grense for å kostnadsføreanleggsmidlerøkte fra kr 15.000 til kr 30.000 fra 01.01.2024.Eksempler:gressklipper, kamerautstyr og stilas"
13Finansielle anleggsmidler,1320,Lån til selskap i samme konsern,1320 - Lån til selskap i samme konsernPå denne kontoen kan lån til selskap i samme konsern som er langsiktige føres. Langsiktige lån er lån hvor løpetiden er mer enn 1 år fra de er tatt opp.Konto1550og1560kan benyttes for kundefordringer som er oridnære og andre fordringer på selskap i samme foretak.
13Finansielle anleggsmidler,1370,Fordringer på personlige eiere,1370 - Fordringer på personlige eiereHer føres lån som er gitt til eiere i bedriften som har en nedbetalingstid på over 1 år.
13Finansielle anleggsmidler,1380,Fordringer på ansatte,"1380 - Fordringer på ansatteDenne kontoen benyttes hvis den ansatte har et langsiktige lån av firmaet til ansatte.Kortsiktige lån/forskudd til ansatte kan du for eksempel føre på ansattreskontroen i Tripletex, som er konto2910. Langsiktig betyr i denne sammenhengen at lånets nedbetalingstid overstiger ett år.Brukes sjelden av små foretak."
13Finansielle anleggsmidler,1384,Fordringer på daglig leder,"1384 - Fordringer på daglig lederKontoen benyttes hvis daglig leder har et langsiktig lån av firmaet. Langsiktig betyr i denne sammenhengen at lånets nedbetalingstid overstiger ett år.Kortsiktige lån/forskudd til ansatte kan du føre på ansattreskontroen i Tripletex, som er konto2910.Brukes sjelden av små foretak."
13Finansielle anleggsmidler,1395,Depositum leietakerinnskudd 0.l.,"1395 - Depositum leietakerinnskudd 0.l.Kontoen benyttes ved utleie, og her bokføres depositum fra leietaker.EksemplerDepositum for boliger som brukes av ansatte."
